Indicator,Country,Year,Tax (% of GDP
Environmental Taxes,Albania,2015,3.067206209
Environmental Taxes,Albania,2016,3.247162685
Environmental Taxes,Albania,2017,3.066373136
Environmental Taxes,Albania,2018,3.124865078
Environmental Taxes,Albania,2019,3.157133387
Taxes on Energy (including fuel for transport),Albania,2015,2.631314126
Taxes on Energy (including fuel for transport),Albania,2016,2.780726368
Taxes on Energy (including fuel for transport),Albania,2017,2.605369494
Taxes on Energy (including fuel for transport),Albania,2018,2.659072201
Taxes on Energy (including fuel for transport),Albania,2019,2.669496069
Taxes on Pollution,Albania,2015,0.124246023
Taxes on Pollution,Albania,2016,0.127673762
Taxes on Pollution,Albania,2017,0.125194586
Taxes on Pollution,Albania,2018,0.13601828
Taxes on Pollution,Albania,2019,0.155151366
Taxes on Resources,Albania,2015,0.002269145
Taxes on Resources,Albania,2016,0.003567068
Taxes on Resources,Albania,2017,0.003989394
Taxes on Resources,Albania,2018,0.00342219
Taxes on Resources,Albania,2019,0.003474022
Taxes on Transport (excluding fuel for transport),Albania,2015,0.309376915
Taxes on Transport (excluding fuel for transport),Albania,2016,0.335195486
Taxes on Transport (excluding fuel for transport),Albania,2017,0.331819663
Taxes on Transport (excluding fuel for transport),Albania,2018,0.326352408
Taxes on Transport (excluding fuel for transport),Albania,2019,0.329011929
Environmental Taxes,Antigua and Barbuda,1995,0.15
Environmental Taxes,Antigua and Barbuda,1996,0.2
Environmental Taxes,Antigua and Barbuda,1997,0.16
Environmental Taxes,Antigua and Barbuda,1998,0.15
Environmental Taxes,Antigua and Barbuda,1999,0.14
Environmental Taxes,Antigua and Barbuda,2000,0.19
Environmental Taxes,Antigua and Barbuda,2001,0.19
Environmental Taxes,Antigua and Barbuda,2002,0.19
Environmental Taxes,Antigua and Barbuda,2003,0.16
Environmental Taxes,Antigua and Barbuda,2004,0.81
Environmental Taxes,Antigua and Barbuda,2005,0.71
Environmental Taxes,Antigua and Barbuda,2006,0.65
Environmental Taxes,Antigua and Barbuda,2007,0.63
Environmental Taxes,Antigua and Barbuda,2008,0.66
Environmental Taxes,Antigua and Barbuda,2009,0.52
Environmental Taxes,Antigua and Barbuda,2010,0.63
Environmental Taxes,Antigua and Barbuda,2011,0.25
Environmental Taxes,Antigua and Barbuda,2012,0.27
Environmental Taxes,Antigua and Barbuda,2013,0.73
Environmental Taxes,Antigua and Barbuda,2014,0.23
Environmental Taxes,Antigua and Barbuda,2015,0.37
Environmental Taxes,Antigua and Barbuda,2016,0.23
Environmental Taxes,Antigua and Barbuda,2017,0.31
Environmental Taxes,Antigua and Barbuda,2018,0.31
Environmental Taxes,Antigua and Barbuda,2019,0.29
Environmental Taxes,Antigua and Barbuda,2020,0.22
Taxes on Energy (including fuel for transport),Antigua and Barbuda,1995,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,1996,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,1997,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,1998,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,1999,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2000,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2001,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2002,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2003,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2004,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2005,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2006,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2007,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2008,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2009,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2010,0.37
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2011,0
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2012,0.05
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2013,0.43
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2014,0.02
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2015,0.15
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2016,0.05
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2017,0.12
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2018,0.1
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2019,0.09
Taxes on Energy (including fuel for transport),Antigua and Barbuda,2020,0.1
Taxes on Pollution,Antigua and Barbuda,1995,0
Taxes on Pollution,Antigua and Barbuda,1996,0
Taxes on Pollution,Antigua and Barbuda,1997,0
Taxes on Pollution,Antigua and Barbuda,1998,0
Taxes on Pollution,Antigua and Barbuda,1999,0
Taxes on Pollution,Antigua and Barbuda,2000,0
Taxes on Pollution,Antigua and Barbuda,2001,0
Taxes on Pollution,Antigua and Barbuda,2002,0
Taxes on Pollution,Antigua and Barbuda,2003,0
Taxes on Pollution,Antigua and Barbuda,2004,0
Taxes on Pollution,Antigua and Barbuda,2005,0
Taxes on Pollution,Antigua and Barbuda,2006,0
Taxes on Pollution,Antigua and Barbuda,2007,0
Taxes on Pollution,Antigua and Barbuda,2008,0
Taxes on Pollution,Antigua and Barbuda,2009,0
Taxes on Pollution,Antigua and Barbuda,2010,0
Taxes on Pollution,Antigua and Barbuda,2011,0
Taxes on Pollution,Antigua and Barbuda,2012,0
Taxes on Pollution,Antigua and Barbuda,2013,0
Taxes on Pollution,Antigua and Barbuda,2014,0
Taxes on Pollution,Antigua and Barbuda,2015,0
Taxes on Pollution,Antigua and Barbuda,2016,0
Taxes on Pollution,Antigua and Barbuda,2017,0
Taxes on Pollution,Antigua and Barbuda,2018,0
Taxes on Pollution,Antigua and Barbuda,2019,0
Taxes on Pollution,Antigua and Barbuda,2020,0
Taxes on Resources,Antigua and Barbuda,1995,0
Taxes on Resources,Antigua and Barbuda,1996,0
Taxes on Resources,Antigua and Barbuda,1997,0
Taxes on Resources,Antigua and Barbuda,1998,0
Taxes on Resources,Antigua and Barbuda,1999,0
Taxes on Resources,Antigua and Barbuda,2000,0
Taxes on Resources,Antigua and Barbuda,2001,0
Taxes on Resources,Antigua and Barbuda,2002,0
Taxes on Resources,Antigua and Barbuda,2003,0
Taxes on Resources,Antigua and Barbuda,2004,0
Taxes on Resources,Antigua and Barbuda,2005,0
Taxes on Resources,Antigua and Barbuda,2006,0
Taxes on Resources,Antigua and Barbuda,2007,0
Taxes on Resources,Antigua and Barbuda,2008,0
Taxes on Resources,Antigua and Barbuda,2009,0
Taxes on Resources,Antigua and Barbuda,2010,0
Taxes on Resources,Antigua and Barbuda,2011,0
Taxes on Resources,Antigua and Barbuda,2012,0
Taxes on Resources,Antigua and Barbuda,2013,0
Taxes on Resources,Antigua and Barbuda,2014,0
Taxes on Resources,Antigua and Barbuda,2015,0
Taxes on Resources,Antigua and Barbuda,2016,0
Taxes on Resources,Antigua and Barbuda,2017,0
Taxes on Resources,Antigua and Barbuda,2018,0
Taxes on Resources,Antigua and Barbuda,2019,0
Taxes on Resources,Antigua and Barbuda,2020,0
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,1995,0.15
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,1996,0.2
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,1997,0.16
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,1998,0.15
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,1999,0.14
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2000,0.19
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2001,0.19
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2002,0.19
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2003,0.16
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2004,0.81
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2005,0.71
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2006,0.65
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2007,0.63
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2008,0.66
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2009,0.52
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2010,0.26
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2011,0.25
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2012,0.22
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2013,0.3
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2014,0.22
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2015,0.22
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2016,0.18
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2017,0.19
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2018,0.21
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2019,0.2
Taxes on Transport (excluding fuel for transport),Antigua and Barbuda,2020,0.11
Environmental Taxes,Argentina,1995,1.43
Environmental Taxes,Argentina,1996,1.83
Environmental Taxes,Argentina,1997,2.79
Environmental Taxes,Argentina,1998,2.54
Environmental Taxes,Argentina,1999,2.38
Environmental Taxes,Argentina,2000,2.34
Environmental Taxes,Argentina,2001,2.33
Environmental Taxes,Argentina,2002,2.35
Environmental Taxes,Argentina,2003,2.7
Environmental Taxes,Argentina,2004,2.48
Environmental Taxes,Argentina,2005,2.34
Environmental Taxes,Argentina,2006,2.12
Environmental Taxes,Argentina,2007,1.94
Environmental Taxes,Argentina,2008,1.95
Environmental Taxes,Argentina,2009,2.16
Environmental Taxes,Argentina,2010,2.09
Environmental Taxes,Argentina,2011,1.92
Environmental Taxes,Argentina,2012,2.23
Environmental Taxes,Argentina,2013,2.14
Environmental Taxes,Argentina,2014,2.22
Environmental Taxes,Argentina,2015,2.19
Environmental Taxes,Argentina,2016,2.14
Environmental Taxes,Argentina,2017,2.29
Environmental Taxes,Argentina,2018,1.9
Environmental Taxes,Argentina,2019,1.82
Environmental Taxes,Argentina,2020,1.75
Taxes on Energy (including fuel for transport),Argentina,1995,1.18
Taxes on Energy (including fuel for transport),Argentina,1996,1.57
Taxes on Energy (including fuel for transport),Argentina,1997,2.47
Taxes on Energy (including fuel for transport),Argentina,1998,2.2
Taxes on Energy (including fuel for transport),Argentina,1999,2.09
Taxes on Energy (including fuel for transport),Argentina,2000,2.09
Taxes on Energy (including fuel for transport),Argentina,2001,2.1
Taxes on Energy (including fuel for transport),Argentina,2002,2.2
Taxes on Energy (including fuel for transport),Argentina,2003,2.48
Taxes on Energy (including fuel for transport),Argentina,2004,2.27
Taxes on Energy (including fuel for transport),Argentina,2005,2.11
Taxes on Energy (including fuel for transport),Argentina,2006,1.9
Taxes on Energy (including fuel for transport),Argentina,2007,1.72
Taxes on Energy (including fuel for transport),Argentina,2008,1.73
Taxes on Energy (including fuel for transport),Argentina,2009,1.9
Taxes on Energy (including fuel for transport),Argentina,2010,1.87
Taxes on Energy (including fuel for transport),Argentina,2011,1.69
Taxes on Energy (including fuel for transport),Argentina,2012,1.98
Taxes on Energy (including fuel for transport),Argentina,2013,1.87
Taxes on Energy (including fuel for transport),Argentina,2014,1.96
Taxes on Energy (including fuel for transport),Argentina,2015,1.91
Taxes on Energy (including fuel for transport),Argentina,2016,1.85
Taxes on Energy (including fuel for transport),Argentina,2017,1.95
Taxes on Energy (including fuel for transport),Argentina,2018,1.62
Taxes on Energy (including fuel for transport),Argentina,2019,1.54
Taxes on Energy (including fuel for transport),Argentina,2020,1.47
Taxes on Pollution,Argentina,1995,0
Taxes on Pollution,Argentina,1996,0
Taxes on Pollution,Argentina,1997,0
Taxes on Pollution,Argentina,1998,0
Taxes on Pollution,Argentina,1999,0
Taxes on Pollution,Argentina,2000,0
Taxes on Pollution,Argentina,2001,0
Taxes on Pollution,Argentina,2002,0
Taxes on Pollution,Argentina,2003,0
Taxes on Pollution,Argentina,2004,0
Taxes on Pollution,Argentina,2005,0
Taxes on Pollution,Argentina,2006,0
Taxes on Pollution,Argentina,2007,0
Taxes on Pollution,Argentina,2008,0
Taxes on Pollution,Argentina,2009,0
Taxes on Pollution,Argentina,2010,0
Taxes on Pollution,Argentina,2011,0
Taxes on Pollution,Argentina,2012,0
Taxes on Pollution,Argentina,2013,0
Taxes on Pollution,Argentina,2014,0
Taxes on Pollution,Argentina,2015,0
Taxes on Pollution,Argentina,2016,0
Taxes on Pollution,Argentina,2017,0
Taxes on Pollution,Argentina,2018,0
Taxes on Pollution,Argentina,2019,0
Taxes on Pollution,Argentina,2020,0
Taxes on Resources,Argentina,1995,0
Taxes on Resources,Argentina,1996,0
Taxes on Resources,Argentina,1997,0
Taxes on Resources,Argentina,1998,0
Taxes on Resources,Argentina,1999,0
Taxes on Resources,Argentina,2000,0
Taxes on Resources,Argentina,2001,0
Taxes on Resources,Argentina,2002,0
Taxes on Resources,Argentina,2003,0
Taxes on Resources,Argentina,2004,0
Taxes on Resources,Argentina,2005,0
Taxes on Resources,Argentina,2006,0
Taxes on Resources,Argentina,2007,0
Taxes on Resources,Argentina,2008,0
Taxes on Resources,Argentina,2009,0
Taxes on Resources,Argentina,2010,0
Taxes on Resources,Argentina,2011,0
Taxes on Resources,Argentina,2012,0
Taxes on Resources,Argentina,2013,0
Taxes on Resources,Argentina,2014,0
Taxes on Resources,Argentina,2015,0
Taxes on Resources,Argentina,2016,0
Taxes on Resources,Argentina,2017,0
Taxes on Resources,Argentina,2018,0
Taxes on Resources,Argentina,2019,0
Taxes on Resources,Argentina,2020,0
Taxes on Transport (excluding fuel for transport),Argentina,1995,0.25
Taxes on Transport (excluding fuel for transport),Argentina,1996,0.27
Taxes on Transport (excluding fuel for transport),Argentina,1997,0.32
Taxes on Transport (excluding fuel for transport),Argentina,1998,0.34
Taxes on Transport (excluding fuel for transport),Argentina,1999,0.29
Taxes on Transport (excluding fuel for transport),Argentina,2000,0.25
Taxes on Transport (excluding fuel for transport),Argentina,2001,0.23
Taxes on Transport (excluding fuel for transport),Argentina,2002,0.16
Taxes on Transport (excluding fuel for transport),Argentina,2003,0.21
Taxes on Transport (excluding fuel for transport),Argentina,2004,0.21
Taxes on Transport (excluding fuel for transport),Argentina,2005,0.22
Taxes on Transport (excluding fuel for transport),Argentina,2006,0.22
Taxes on Transport (excluding fuel for transport),Argentina,2007,0.21
Taxes on Transport (excluding fuel for transport),Argentina,2008,0.22
Taxes on Transport (excluding fuel for transport),Argentina,2009,0.26
Taxes on Transport (excluding fuel for transport),Argentina,2010,0.22
Taxes on Transport (excluding fuel for transport),Argentina,2011,0.23
Taxes on Transport (excluding fuel for transport),Argentina,2012,0.25
Taxes on Transport (excluding fuel for transport),Argentina,2013,0.28
Taxes on Transport (excluding fuel for transport),Argentina,2014,0.26
Taxes on Transport (excluding fuel for transport),Argentina,2015,0.29
Taxes on Transport (excluding fuel for transport),Argentina,2016,0.29
Taxes on Transport (excluding fuel for transport),Argentina,2017,0.34
Taxes on Transport (excluding fuel for transport),Argentina,2018,0.29
Taxes on Transport (excluding fuel for transport),Argentina,2019,0.27
Taxes on Transport (excluding fuel for transport),Argentina,2020,0.28
Environmental Taxes,"Armenia, Rep. of",2015,0.878123146
Environmental Taxes,"Armenia, Rep. of",2016,0.828610156
Environmental Taxes,"Armenia, Rep. of",2017,1.049626599
Environmental Taxes,"Armenia, Rep. of",2018,1.171518747
Environmental Taxes,"Armenia, Rep. of",2019,1.246560255
Environmental Taxes,"Armenia, Rep. of",2020,1.004226354
Taxes on Energy (including fuel for transport),"Armenia, Rep. of",2015,0.005653072
Taxes on Energy (including fuel for transport),"Armenia, Rep. of",2016,0.006227809
Taxes on Energy (including fuel for transport),"Armenia, Rep. of",2017,0.005573547
Taxes on Energy (including fuel for transport),"Armenia, Rep. of",2018,0.005080148
Taxes on Energy (including fuel for transport),"Armenia, Rep. of",2019,0.00393099
Taxes on Energy (including fuel for transport),"Armenia, Rep. of",2020,0.004246429
Taxes on Pollution,"Armenia, Rep. of",2015,0.169728724
Taxes on Pollution,"Armenia, Rep. of",2016,0.151955406
Taxes on Pollution,"Armenia, Rep. of",2017,0.172492356
Taxes on Pollution,"Armenia, Rep. of",2018,0.196342228
Taxes on Pollution,"Armenia, Rep. of",2019,0.343865569
Taxes on Pollution,"Armenia, Rep. of",2020,0.112561923
Taxes on Resources,"Armenia, Rep. of",2015,0.449976826
Taxes on Resources,"Armenia, Rep. of",2016,0.398855295
Taxes on Resources,"Armenia, Rep. of",2017,0.587180853
Taxes on Resources,"Armenia, Rep. of",2018,0.713301977
Taxes on Resources,"Armenia, Rep. of",2019,0.638661224
Taxes on Resources,"Armenia, Rep. of",2020,0.77485446
Taxes on Transport (excluding fuel for transport),"Armenia, Rep. of",2015,0.252764524
Taxes on Transport (excluding fuel for transport),"Armenia, Rep. of",2016,0.271571645
Taxes on Transport (excluding fuel for transport),"Armenia, Rep. of",2017,0.284379842
Taxes on Transport (excluding fuel for transport),"Armenia, Rep. of",2018,0.256794394
Taxes on Transport (excluding fuel for transport),"Armenia, Rep. of",2019,0.260102472
Taxes on Transport (excluding fuel for transport),"Armenia, Rep. of",2020,0.112563541
Environmental Taxes,Australia,1995,2.61
Environmental Taxes,Australia,1996,2.54
Environmental Taxes,Australia,1997,2.78
Environmental Taxes,Australia,1998,2.88
Environmental Taxes,Australia,1999,2.58
Environmental Taxes,Australia,2000,2.49
Environmental Taxes,Australia,2001,2.4
Environmental Taxes,Australia,2002,2.41
Environmental Taxes,Australia,2003,2.33
Environmental Taxes,Australia,2004,2.25
Environmental Taxes,Australia,2005,2.08
Environmental Taxes,Australia,2006,2.02
Environmental Taxes,Australia,2007,1.95
Environmental Taxes,Australia,2008,1.76
Environmental Taxes,Australia,2009,1.84
Environmental Taxes,Australia,2010,1.79
Environmental Taxes,Australia,2011,1.73
Environmental Taxes,Australia,2012,2.24
Environmental Taxes,Australia,2013,2.24
Environmental Taxes,Australia,2014,1.78
Environmental Taxes,Australia,2015,1.8
Environmental Taxes,Australia,2016,1.69
Environmental Taxes,Australia,2017,0.71
Environmental Taxes,Australia,2018,0.68
Environmental Taxes,Australia,2019,0.62
Environmental Taxes,Australia,2020,0.56
Taxes on Energy (including fuel for transport),Australia,1995,1.97
Taxes on Energy (including fuel for transport),Australia,1996,1.89
Taxes on Energy (including fuel for transport),Australia,1997,2.14
Taxes on Energy (including fuel for transport),Australia,1998,2.17
Taxes on Energy (including fuel for transport),Australia,1999,2.08
Taxes on Energy (including fuel for transport),Australia,2000,1.76
Taxes on Energy (including fuel for transport),Australia,2001,1.69
Taxes on Energy (including fuel for transport),Australia,2002,1.66
Taxes on Energy (including fuel for transport),Australia,2003,1.57
Taxes on Energy (including fuel for transport),Australia,2004,1.55
Taxes on Energy (including fuel for transport),Australia,2005,1.44
Taxes on Energy (including fuel for transport),Australia,2006,1.38
Taxes on Energy (including fuel for transport),Australia,2007,1.31
Taxes on Energy (including fuel for transport),Australia,2008,1.18
Taxes on Energy (including fuel for transport),Australia,2009,1.23
Taxes on Energy (including fuel for transport),Australia,2010,1.19
Taxes on Energy (including fuel for transport),Australia,2011,1.13
Taxes on Energy (including fuel for transport),Australia,2012,1.59
Taxes on Energy (including fuel for transport),Australia,2013,1.54
Taxes on Energy (including fuel for transport),Australia,2014,1.08
Taxes on Energy (including fuel for transport),Australia,2015,1.08
Taxes on Energy (including fuel for transport),Australia,2016,1.05
Taxes on Pollution,Australia,1995,0
Taxes on Pollution,Australia,1996,0.01
Taxes on Pollution,Australia,1997,0.01
Taxes on Pollution,Australia,1998,0.02
Taxes on Pollution,Australia,1999,0.02
Taxes on Pollution,Australia,2000,0.02
Taxes on Pollution,Australia,2001,0.02
Taxes on Pollution,Australia,2002,0.02
Taxes on Pollution,Australia,2003,0.02
Taxes on Pollution,Australia,2004,0.02
Taxes on Pollution,Australia,2005,0.02
Taxes on Pollution,Australia,2006,0.02
Taxes on Pollution,Australia,2007,0.02
Taxes on Pollution,Australia,2008,0.02
Taxes on Pollution,Australia,2009,0.03
Taxes on Pollution,Australia,2010,0.03
Taxes on Pollution,Australia,2013,0.05
Taxes on Pollution,Australia,2014,0.05
Taxes on Pollution,Australia,2015,0.06
Taxes on Pollution,Australia,2016,0.05
Taxes on Pollution,Australia,2017,0.02
Taxes on Pollution,Australia,2018,0.02
Taxes on Pollution,Australia,2019,0.02
Taxes on Pollution,Australia,2020,0.02
Taxes on Resources,Australia,2010,0.04
Taxes on Resources,Australia,2011,0.04
Taxes on Resources,Australia,2012,0.05
Taxes on Resources,Australia,2013,0.05
Taxes on Resources,Australia,2014,0.05
Taxes on Resources,Australia,2015,0.06
Taxes on Resources,Australia,2016,0.05
Taxes on Resources,Australia,2017,0.05
Taxes on Resources,Australia,2018,0.04
Taxes on Resources,Australia,2019,0.04
Taxes on Transport (excluding fuel for transport),Australia,1995,0.64
Taxes on Transport (excluding fuel for transport),Australia,1996,0.65
Taxes on Transport (excluding fuel for transport),Australia,1997,0.63
Taxes on Transport (excluding fuel for transport),Australia,1998,0.69
Taxes on Transport (excluding fuel for transport),Australia,1999,0.48
Taxes on Transport (excluding fuel for transport),Australia,2000,0.71
Taxes on Transport (excluding fuel for transport),Australia,2001,0.68
Taxes on Transport (excluding fuel for transport),Australia,2002,0.74
Taxes on Transport (excluding fuel for transport),Australia,2003,0.74
Taxes on Transport (excluding fuel for transport),Australia,2004,0.67
Taxes on Transport (excluding fuel for transport),Australia,2005,0.62
Taxes on Transport (excluding fuel for transport),Australia,2006,0.62
Taxes on Transport (excluding fuel for transport),Australia,2007,0.62
Taxes on Transport (excluding fuel for transport),Australia,2008,0.55
Taxes on Transport (excluding fuel for transport),Australia,2009,0.58
Taxes on Transport (excluding fuel for transport),Australia,2010,0.53
Taxes on Transport (excluding fuel for transport),Australia,2011,0.53
Taxes on Transport (excluding fuel for transport),Australia,2012,0.56
Taxes on Transport (excluding fuel for transport),Australia,2013,0.59
Taxes on Transport (excluding fuel for transport),Australia,2014,0.6
Taxes on Transport (excluding fuel for transport),Australia,2015,0.61
Taxes on Transport (excluding fuel for transport),Australia,2016,0.54
Taxes on Transport (excluding fuel for transport),Australia,2017,0.64
Taxes on Transport (excluding fuel for transport),Australia,2018,0.62
Environmental Taxes,Austria,1995,2.05
Environmental Taxes,Austria,1996,2.17
Environmental Taxes,Austria,1997,2.45
Environmental Taxes,Austria,1998,2.4
Environmental Taxes,Austria,1999,2.4
Environmental Taxes,Austria,2000,2.51
Environmental Taxes,Austria,2001,2.72
Environmental Taxes,Austria,2002,2.77
Environmental Taxes,Austria,2003,2.83
Environmental Taxes,Austria,2004,2.79
Environmental Taxes,Austria,2005,2.7
Environmental Taxes,Austria,2006,2.55
Environmental Taxes,Austria,2007,2.49
Environmental Taxes,Austria,2008,2.47
Environmental Taxes,Austria,2009,2.47
Environmental Taxes,Austria,2010,2.46
Environmental Taxes,Austria,2011,2.54
Environmental Taxes,Austria,2012,2.53
Environmental Taxes,Austria,2013,2.51
Environmental Taxes,Austria,2014,2.52
Environmental Taxes,Austria,2015,2.51
Environmental Taxes,Austria,2016,2.48
Environmental Taxes,Austria,2017,2.53
Environmental Taxes,Austria,2018,2.41
Environmental Taxes,Austria,2019,2.28
Environmental Taxes,Austria,2020,2.1
Taxes on Energy (including fuel for transport),Austria,1995,1.3
Taxes on Energy (including fuel for transport),Austria,1996,1.42
Taxes on Energy (including fuel for transport),Austria,1997,1.62
Taxes on Energy (including fuel for transport),Austria,1998,1.52
Taxes on Energy (including fuel for transport),Austria,1999,1.52
Taxes on Energy (including fuel for transport),Austria,2000,1.54
Taxes on Energy (including fuel for transport),Austria,2001,1.65
Taxes on Energy (including fuel for transport),Austria,2002,1.68
Taxes on Energy (including fuel for transport),Austria,2003,1.73
Taxes on Energy (including fuel for transport),Austria,2004,1.79
Taxes on Energy (including fuel for transport),Austria,2005,1.71
Taxes on Energy (including fuel for transport),Austria,2006,1.58
Taxes on Energy (including fuel for transport),Austria,2007,1.57
Taxes on Energy (including fuel for transport),Austria,2008,1.57
Taxes on Energy (including fuel for transport),Austria,2009,1.55
Taxes on Energy (including fuel for transport),Austria,2010,1.55
Taxes on Energy (including fuel for transport),Austria,2011,1.61
Taxes on Energy (including fuel for transport),Austria,2012,1.58
Taxes on Energy (including fuel for transport),Austria,2013,1.57
Taxes on Energy (including fuel for transport),Austria,2014,1.51
Taxes on Energy (including fuel for transport),Austria,2015,1.52
Taxes on Energy (including fuel for transport),Austria,2016,1.48
Taxes on Energy (including fuel for transport),Austria,2017,1.5
Taxes on Energy (including fuel for transport),Austria,2018,1.4
Taxes on Energy (including fuel for transport),Austria,2019,1.4
Taxes on Energy (including fuel for transport),Austria,2020,1.21
Taxes on Pollution,Austria,1995,0.01
Taxes on Pollution,Austria,1996,0.01
Taxes on Pollution,Austria,1997,0.02
Taxes on Pollution,Austria,1998,0.02
Taxes on Pollution,Austria,1999,0.03
Taxes on Pollution,Austria,2000,0.03
Taxes on Pollution,Austria,2001,0.04
Taxes on Pollution,Austria,2002,0.04
Taxes on Pollution,Austria,2003,0.04
Taxes on Pollution,Austria,2004,0.02
Taxes on Pollution,Austria,2005,0.02
Taxes on Pollution,Austria,2006,0.03
Taxes on Pollution,Austria,2007,0.03
Taxes on Pollution,Austria,2008,0.02
Taxes on Pollution,Austria,2009,0.02
Taxes on Pollution,Austria,2010,0.02
Taxes on Pollution,Austria,2011,0.02
Taxes on Pollution,Austria,2012,0.02
Taxes on Pollution,Austria,2013,0.02
Taxes on Pollution,Austria,2014,0.02
Taxes on Pollution,Austria,2015,0.02
Taxes on Pollution,Austria,2016,0.02
Taxes on Pollution,Austria,2017,0.02
Taxes on Pollution,Austria,2018,0.02
Taxes on Pollution,Austria,2019,0.02
Taxes on Pollution,Austria,2020,0.02
Taxes on Resources,Austria,1995,0
Taxes on Resources,Austria,1996,0.01
Taxes on Resources,Austria,1997,0
Taxes on Resources,Austria,1998,0
Taxes on Resources,Austria,1999,0
Taxes on Resources,Austria,2000,0.01
Taxes on Resources,Austria,2001,0.01
Taxes on Resources,Austria,2002,0
Taxes on Resources,Austria,2003,0.01
Taxes on Resources,Austria,2004,0
Taxes on Resources,Austria,2005,0.01
Taxes on Resources,Austria,2006,0
Taxes on Resources,Austria,2007,0
Taxes on Resources,Austria,2008,0
Taxes on Resources,Austria,2009,0
Taxes on Resources,Austria,2010,0
Taxes on Resources,Austria,2011,0
Taxes on Resources,Austria,2012,0.01
Taxes on Resources,Austria,2013,0.01
Taxes on Resources,Austria,2014,0.01
Taxes on Resources,Austria,2015,0.01
Taxes on Resources,Austria,2016,0.01
Taxes on Resources,Austria,2017,0.01
Taxes on Resources,Austria,2018,0.01
Taxes on Resources,Austria,2019,0.01
Taxes on Resources,Austria,2020,0
Taxes on Transport (excluding fuel for transport),Austria,1995,0.74
Taxes on Transport (excluding fuel for transport),Austria,1996,0.73
Taxes on Transport (excluding fuel for transport),Austria,1997,0.81
Taxes on Transport (excluding fuel for transport),Austria,1998,0.85
Taxes on Transport (excluding fuel for transport),Austria,1999,0.85
Taxes on Transport (excluding fuel for transport),Austria,2000,0.93
Taxes on Transport (excluding fuel for transport),Austria,2001,1.03
Taxes on Transport (excluding fuel for transport),Austria,2002,1.04
Taxes on Transport (excluding fuel for transport),Austria,2003,1.05
Taxes on Transport (excluding fuel for transport),Austria,2004,0.97
Taxes on Transport (excluding fuel for transport),Austria,2005,0.97
Taxes on Transport (excluding fuel for transport),Austria,2006,0.94
Taxes on Transport (excluding fuel for transport),Austria,2007,0.89
Taxes on Transport (excluding fuel for transport),Austria,2008,0.87
Taxes on Transport (excluding fuel for transport),Austria,2009,0.9
Taxes on Transport (excluding fuel for transport),Austria,2010,0.89
